claim_id,status,approved_wording,evidence,owner,review_date,channels,notes
RSK-C01,approved-for-draft,"goZaika is pickup-only; customers collect at the restaurant.","docs/architecture/overview.md; apps/website/lib/legal.ts",Product,2026-06-21,"print|digital|deck","Do not imply delivery or rider coordination."
RSK-C02,approved-for-draft,"The restaurant sets the pickup window, quantity, and required food disclosures.","apps/website/lib/content.ts:forRestaurantsContent; mobile drop contracts",Product,2026-06-21,"print|digital|deck","Subject to portal permissions and publishing controls."
RSK-C03,approved-for-draft,"A diner reserves a limited BAM Bag and collects it at the counter.","apps/website/lib/content.ts; mobile discovery and pickup contracts",Product,2026-06-21,"print|digital|deck","Do not promise specific contents."
RSK-C04,approved-for-draft,"goZaika presents BAM Bags as curated discovery, not leftovers or clearance.","docs/product/brand-assets.md; apps/website/lib/content.ts",Brand,2026-06-21,"print|digital|deck","Brand-positioning statement, not a financial claim."
RSK-C05,approved-for-draft,"POS integration is not required for the initial operating model.","apps/website/lib/content.ts:operationalFaqs",Product,2026-06-21,"print|digital|deck","Reconfirm before release if onboarding workflow changes."
RSK-C06,approved-for-draft,"Partners must maintain accurate dietary and allergen disclosures.","apps/website/lib/legal.ts; apps/website/lib/content.ts",Compliance,2026-06-21,"print|digital|deck","Do not imply goZaika guarantees zero cross-contamination."
RSK-C07,pending-commercial,"Commission rates, pilot pricing, free periods, volume tiers, and setup fees.","apps/website/lib/content.ts:comparisonRows",Commercial,,"none","Current website copy exists but requires current commercial-owner approval before printing."
RSK-C08,rejected,"100% data ownership / unrestricted CRM transfer.","No approved privacy or data-controller evidence located",Privacy,,"none","Do not use. Explain only approved reporting and consented data access."
RSK-C09,rejected,"Guaranteed new customers, repeat visits, margin recovery, or monthly net revenue.","No substantiated performance study located",Commercial,,"none","Do not use numeric or guaranteed outcome language."
RSK-C10,pending-commercial,"No upfront ad spend.","Current public website subtitle",Commercial,,"digital-draft","Safe kit omits this until commercial owner reconfirms."
RSK-C11,pending-analytics,"Tracked claims about scan-to-lead or pilot conversion.","No approved campaign baseline located",Growth,,"none","Use as measurement plan, never as current performance."
